Date,Closing Price
1998-06-19,26.332
1998-06-22,26.543
1998-06-23,26.981
1998-06-24,27.216
1998-06-25,27.242
1998-06-26,27.15
1998-06-29,26.872
1998-06-30,26.825
1998-07-01,27.413
1998-07-02,27.383
1998-07-06,27.557
1998-07-07,27.337
1998-07-08,27.507
1998-07-09,26.961
1998-07-10,26.944
1998-07-13,26.496
1998-07-14,27.076
1998-07-15,26.92
1998-07-16,26.825
1998-07-17,27.195
1998-07-20,26.52
1998-07-21,26.377
1998-07-22,26.981
1998-07-23,26.352
1998-07-24,26.449
1998-07-27,26.85
1998-07-28,26.165
1998-07-29,26.567
1998-07-30,27.098
1998-07-31,26.402
1998-08-03,25.739
1998-08-04,25.234
1998-08-05,24.869
1998-08-06,24.398
1998-08-07,25.16
1998-08-10,25.42
1998-08-11,25.561
1998-08-12,25.209
1998-08-13,25.632
1998-08-14,25.696
1998-08-17,26.165
1998-08-18,26.377
1998-08-19,26.591
1998-08-20,26.804
1998-08-21,26.637
1998-08-24,26.52
1998-08-25,26.449
1998-08-26,26.449
1998-08-27,26.026
1998-08-28,25.397
1998-08-31,24.588
1998-09-01,24.942
1998-09-02,24.054
1998-09-03,24.032
1998-09-04,24.825
1998-09-08,25.349
1998-09-09,25.816
1998-09-10,26.191
1998-09-11,26.52
1998-09-14,26.496
1998-09-15,26.778
1998-09-16,26.236
1998-09-17,25.764
1998-09-18,25.61
1998-09-21,25.632
1998-09-22,25.209
1998-09-23,26.426
1998-09-24,26.071
1998-09-25,25.696
1998-09-28,25.586
1998-09-29,26.778
1998-09-30,26.543
1998-10-01,26.52
1998-10-02,27.439
1998-10-05,28.143
1998-10-06,28.465
1998-10-07,27.838
1998-10-08,26.944
1998-10-09,26.591
1998-10-12,26.981
1998-10-13,27.439
1998-10-14,27.814
1998-10-15,28.419
